dataset_name,sim_method,algo,sim_threshold,neighbors,sig_weight,weighting_factor,coverage,mse,rmse,mae
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.0,100,100,0.25,0.9993,1.0418371936090762,1.0207042635401675,0.8141530898638828
ml-100k,<function sim_pearson at 0x7fdf515cf790>,new_get_hybrid_recommendations,0.0,100,100,0.25,0.99955,1.0310559904453476,1.0154092723849568,0.8101596096965944
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.0,100,100,0.5,0.9993,1.037194842203318,1.0184276322858279,0.8122968819331194
ml-100k,<function sim_pearson at 0x7fdf515cf790>,new_get_hybrid_recommendations,0.0,100,100,0.5,0.99955,1.019227962043454,1.0095682057411741,0.8053507061255059
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.0,100,100,0.75,0.9993,1.0332082482202638,1.016468518066479,0.8106699352719976
ml-100k,<function sim_pearson at 0x7fdf515cf790>,new_get_hybrid_recommendations,0.0,100,100,0.75,0.99955,1.0096582504535214,1.0048175209726,0.8013659780643992
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.0,100,100,1.0,0.9993,1.0296574109405447,1.0147203609569213,0.8091988720722038
ml-100k,<function sim_pearson at 0x7fdf515cf790>,new_get_hybrid_recommendations,0.0,100,100,1.0,0.99955,1.0015394950323353,1.0007694514883712,0.7979487625813031
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.30619392219999997,100,100,0.25,0.99715,1.0541741177007613,1.0267298172843533,0.8183591574871515
ml-100k,<function sim_pearson at 0x7fdf515cf790>,new_get_hybrid_recommendations,0.3061939222,100,100,0.25,0.99715,1.0541741177007613,1.0267298172843533,0.8183591574871515
ml-100k,<function sim_distance at 0x7fdf515cf700>,new_get_hybrid_recommendations,0.30619392219999997,100,100,0.5,0.99715,1.0541741177007613,1.0267298172843533,0.8183591574871515
