,model,test mse,test preds std,epochs,learning rate,n_nodes_per_layer,n_factors,batch_size,dropout_prob
0,0,0.9444981111664644,0.7193822264671326,25,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
1,1,0.9162276516748988,0.7532315850257874,25,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
2,2,1.527538387343044,0.3882696330547333,25,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
3,3,8.916747312415898,0.0,25,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
4,4,9.02314805351608,0.4820482134819031,25,1e-05,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
5,5,14.63606042026403,0.1819731742143631,25,1e-06,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
6,6,1.0471613993283715,0.7186707854270935,25,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
7,7,0.9473993605129484,0.6775959134101868,25,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
8,8,0.9415905091918566,0.5145348906517029,25,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
9,9,1.1720768084210016,0.4608131945133209,25,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
10,10,14.049139018416607,0.5919238924980164,25,1e-05,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
11,11,11.676542113034087,0.3253279030323029,25,1e-06,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
12,12,0.9162207227955588,0.6520605683326721,25,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
13,13,0.9936259404493384,0.5388118624687195,25,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
14,14,0.941888748928725,0.6925143599510193,25,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
15,15,1.0901863283868798,0.5530963540077211,25,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
16,16,12.425960765208908,0.273650735616684,25,1e-05,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
17,17,16.833618644707233,0.3922548294067383,25,1e-06,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
18,18,1.2604125921495624,4.76837158203125e-07,25,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
19,19,1.2867386242330583,0.5472287535667419,25,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
20,20,0.973339573104514,0.7251349091529846,25,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
21,21,1.264689015045794,0.4564867913722992,25,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
22,22,12.958462970515493,0.0947963520884514,25,1e-05,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
23,23,15.122653442391846,0.1477270871400833,25,1e-06,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
24,24,0.926438708340388,0.6885111927986145,25,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
25,25,1.2549775605696292,0.0,25,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
26,26,1.1414165788568076,0.4796542525291443,25,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
27,27,8.984175451067788,5.960464477539063e-08,25,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
28,28,7.526442007489427,0.4915196895599365,25,1e-05,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
29,29,11.151940064202002,0.2759256064891815,25,1e-06,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
